enhancerID,enhancerName,chromosomeNumberAsReported,startAsReported,endAsReported,genomeAssemblyAsReported,organism,hg38Chromosome,hg38Start,hg38End,geneName,geneID,organ,tissue,cell,functionalYN,methodAssay,relevantText,page,title,firstAuthor,pubYear,journal,volumePageNumber,doi,pmid,curator,comments
331,FOURNI,7,147372100,147374100,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,"Transgenic Reporter
Zebrafish","We sought a functional assay that is appropriate for a highthroughput in vivo enhancer screen. We performed transient reporter assays in zebrafish embryos and scored for MOE-specific reporter expression as previously described (Booker et al., 2013).",545,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,Not Mammalian System
332,IKARIA,7,106936000,106937199,mm9,Mouse,11,75036406,75036860,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,"Transgenic Reporter
Zebrafish","We sought a functional assay that is appropriate for a highthroughput in vivo enhancer screen. We performed transient reporter assays in zebrafish embryos and scored for MOE-specific reporter expression as previously described (Booker et al., 2013).",545,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,Not Mammalian System
334,SFAKTIRIA,6,42818900,42820700,mm9,Mouse,7,144037596,144037865,Unknown,Unknown,Embryo,Olfactory Bulb,Olfactory Sensory Neurons,Y,Transgenic Reporter Mice,"To further validate the zebrafish reporter assay, we generated transgenic b-galactosidase (b-gal) reporter lines using a reporter vector driven by the hsp68 minimal promoter (Kothary et al., 1988). We tested three zebrafish-positive elements, Sfaktiria, Lipsi, and Kefallonia (Table S2), referred to as Sfaktiria-lacZ, Lipsi-lacZ, and Kefallonia-lacZ in the rest of the manuscript.",547,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,
334,SFAKTIRIA,6,42818900,42820700,mm9,Mouse,7,144037596,144037865,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,Transgenic Reporter Mice,"To further validate the zebrafish reporter assay, we generated transgenic b-galactosidase (b-gal) reporter lines using a reporter vector driven by the hsp68 minimal promoter (Kothary et al., 1988). We tested three zebrafish-positive elements, Sfaktiria, Lipsi, and Kefallonia (Table S2), referred to as Sfaktiria-lacZ, Lipsi-lacZ, and Kefallonia-lacZ in the rest of the manuscript.",547,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,
335,KEFALLONIA,7,6497300,6499100,mm9,Mouse,Not Found,Not Found,Not Found,Unknown,Unknown,Embryo,Olfactory Epithelium,Olfactory Sensory Neurons,Y,Transgenic Reporter Mice,"To further validate the zebrafish reporter assay, we generated transgenic b-galactosidase (b-gal) reporter lines using a reporter vector driven by the hsp68 minimal promoter (Kothary et al., 1988). We tested three zebrafish-positive elements, Sfaktiria, Lipsi, and Kefallonia (Table S2), referred to as Sfaktiria-lacZ, Lipsi-lacZ, and Kefallonia-lacZ in the rest of the manuscript.",547,Enhancer Interaction Networks as a Means for Singular Olfactory Receptor Expression,"Markenscoff-Papadimitriou, E.",2014,Cell,"159, 543-547",10.1016/j.cell.2014.09.033,25417106,Charmaine,
340,SORL1 eExon,11,121424477,121425085,hg19,Human,11,121553768,121554376,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
340,SORL1 eExon,11,121424477,121425085,hg19,Human,11,121553768,121554376,Unknown,Unknown,Liver,,Liver Cells,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
341,SCN8A eExon,12,52056521,52057103,hg19,Human,12,51662737,51663319,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
341,SCN8A eExon,12,52056521,52057103,hg19,Human,12,51662737,51663319,Unknown,Unknown,Liver,,Liver Cells,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
342,AMDHD1 eExon,12,96359930,96360415,hg19,Human,12,95966152,95966637,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
343,ABCC3 (B) eExon,17,48762009,48762494,hg19,Human,17,50684648,50685133,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
343,ABCC3 (B) eExon,17,48762009,48762494,hg19,Human,17,50684648,50685133,Unknown,Unknown,Liver,,Liver Cells,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
344,ALPK2 eExon,18,56246779,56247326,hg19,Human,18,58579547,58580094,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
345,LIME1 eExon,20,62369318,62369912,hg19,Human,20,63737965,63738559,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
346,PPARG eExon,3,12447098,12447678,hg19,Human,3,12405599,12406179,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
346,PPARG eExon,3,12447098,12447678,hg19,Human,3,12405599,12406179,Unknown,Unknown,Liver,,Liver Cells,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
347,UGT2B7 (B) eExon,4,69964158,69964534,hg19,Human,4,69098440,69098816,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
347,UGT2B7 (B) eExon,4,69964158,69964534,hg19,Human,4,69098440,69098816,Unknown,Unknown,Liver,,Liver Cells,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
348,MTMR12 eExon,5,32233684,32234155,hg19,Human,5,32233578,32234049,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
348,MTMR12 eExon,5,32233684,32234155,hg19,Human,5,32233578,32234049,Unknown,Unknown,Liver,,Liver Cells,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
349,TRAF31P2 eExon,6,111912400,111913096,hg19,Human,6,111591197,111591893,Unknown,Unknown,Cell Line,,HepG2 Cell Line,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
349,TRAF31P2 eExon,6,111912400,111913096,hg19,Human,6,111591197,111591893,Unknown,Unknown,Liver,,Liver Cells,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
350,MACF1 eExon,1,39853063,39853559,hg19,Human,1,39387391,39387887,Unknown,Unknown,Liver,,Liver Cells,Y,Luciferase Assay,"To determine whether these exons function as liver enhancers, we tested the fifteen
selected candidates for enhancer activity in human hepatocellular carcinoma (HepG2) cells and mouse liver.",e1004592,Systematic Dissection of Coding Exons at Single Nucleotide Resolution Supports an Additional Role in Cell-Specific Transcriptional Regulation,"Birnbaum, R. Y.",2014,PLOS Genetics,"10, e1004592",10.1371/journal.pgen.1004592,25340400,Charmaine,
374,Nanog-SIFS-1,6,122612637,122614015,mm9,Mouse,9,120386477,120386754,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"We used SIF-seq to randomly interrogate genomic intervals, at a resolution of ~1 kb, and identified ES cell enhancers near genes involved in pluripotency or early embryogenesis (mouse and human Nanog and NANOG, and mouse Sall1).",566,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
375,Nanog-SIFS-2,6,122652056,122653697,mm9,Mouse,Unknown,Unknown,Unknown,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"We used SIF-seq to randomly interrogate genomic intervals, at a resolution of ~1 kb, and identified ES cell enhancers near genes involved in pluripotency or early embryogenesis (mouse and human Nanog and NANOG, and mouse Sall1).",566,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
376,Nanog-SIFS-3,6,122714054,122715788,mm9,Mouse,Unknown,Unknown,Unknown,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"We used SIF-seq to randomly interrogate genomic intervals, at a resolution of ~1 kb, and identified ES cell enhancers near genes involved in pluripotency or early embryogenesis (mouse and human Nanog and NANOG, and mouse Sall1).",566,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
377,Sall-SIFS-1,8,91515075,91516483,mm9,Mouse,16,51095665,51096328,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"We used SIF-seq to randomly interrogate genomic intervals, at a resolution of ~1 kb, and identified ES cell enhancers near genes involved in pluripotency or early embryogenesis (mouse and human Nanog and NANOG, and mouse Sall1).",566,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
378,Sall-SIFS-2,8,91526678,91527811,mm9,Mouse,16,51111773,51112194,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"We used SIF-seq to randomly interrogate genomic intervals, at a resolution of ~1 kb, and identified ES cell enhancers near genes involved in pluripotency or early embryogenesis (mouse and human Nanog and NANOG, and mouse Sall1).",566,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
379,Sall-SIFS-3,8,91538982,91540376,mm9,Mouse,Unknown,Unknown,Unknown,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"We used SIF-seq to randomly interrogate genomic intervals, at a resolution of ~1 kb, and identified ES cell enhancers near genes involved in pluripotency or early embryogenesis (mouse and human Nanog and NANOG, and mouse Sall1).",566,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
380,hNANOG-SIFS-1,12,7909759,7912716,hg19,Human,12,7757163,7760120,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"To explore the potential utility of this approach for mapping and characterizing human noncoding regulatory sequences, we next tested SIF-seq on mouse ES cells with integrated human sequences.",568,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
381,hNANOG-SIFS-2,12,7950680,7952506,hg19,Human,12,7798084,7799910,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"To explore the potential utility of this approach for mapping and characterizing human noncoding regulatory sequences, we next tested SIF-seq on mouse ES cells with integrated human sequences.",568,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
382,hs2330,14,23911613,23912923,hg19,Human,14,23442404,23443714,Unknown,Unknown,Cell Line,,ES Cell Line,Y,SIF-Seq,"Therefore, we next explored whether SIF-seq can be used to identify enhancers in additional, disease-relevant cell types by using in vitro differentiation of ES cells.",569,Function-based identification of mammalian enhancers using site-specific integration,"Dickel, D. E.",2014,Nature methods,"11, 566-571",10.1038/nmeth.2886,24658141,Charmaine,
384,2kb Enhancer,11,111152290,111154290,hg19,Human,11,111281565,111283565,Unknown,Unknown,Cell Line,,HCT-116 Cells,Y,Luciferase Assay,"To investigate potential enhancer activity of candidate enhancer regions, several DNA fragments centered over H3K4me1 chromatin marks were PCR amplified from DNA isolated from a normal human lymphoblastoid cell line and cloned in both directions upstream of a luciferase reporter gene driven by the thymidine kinase (TK) minimal promoter (13).",2200,Identification and characterization of functional risk variants for colorectal cancer mapping to chromosome 11q23.1,"Biancolella, M.",2014,Human Molecular Genetics,"23, 2198-2209",10.1093/hmg/ddt584,24256810,Charmaine,
384,2kb Enhancer,11,111152290,111154290,hg19,Human,11,111281565,111283565,Unknown,Unknown,Cell Line,,SW480 Cells,Y,Luciferase Assay,"To investigate potential enhancer activity of candidate enhancer regions, several DNA fragments centered over H3K4me1 chromatin marks were PCR amplified from DNA isolated from a normal human lymphoblastoid cell line and cloned in both directions upstream of a luciferase reporter gene driven by the thymidine kinase (TK) minimal promoter (13).",2200,Identification and characterization of functional risk variants for colorectal cancer mapping to chromosome 11q23.1,"Biancolella, M.",2014,Human Molecular Genetics,"23, 2198-2209",10.1093/hmg/ddt584,24256810,Charmaine,"Activity is unidirectional, unlike most enhancers that are bidrectional"
406,"4q32 Enhancer
[wild type A]; [mutation C]",4,165491461,165491895,hg19,Human,4,164570309,164570743,Unknown,Unknown,Cell Line,,BCPAP Cell Line,Y,Luciferase Assay,"To test this hypothesis, we amplified a 700 bp DNA fragment containing the 4q32A. C mutation using a patient’s DNA and cloned the sequence into a luciferase reporter construct driven by a minimal promoter vector.",e61920,Ultra-Rare Mutation in Long-Range Enhancer Predisposes to Thyroid Carcinoma with High Penetrance,"He, H.",2013,PLOS One,"8, e61920",10.1371/journal.pone.0061920,23690926,Charmaine,
445,HS001,5,1950783,1951202,hg19,Human,5,1950669,1951088,Unknown,Unknown,Cell Line,,HeLa Cell Line,Y,Luciferase Assay,"This includes human HeLa cells, for which we confirm the quantitative nature of STARR-seq and its ability to identify enhancers that function in luciferase assays independent of their chromatin states and, thus, more reliably than previous methods (figs. S30 and S31).",1077,Genome-Wide Quantitative Enhancer Activity Maps Identified by STARR-seq,"Arnold, C. D.",2013,Science,"339, 1074-1077",10.1126/science.1232542,23328393,Charmaine,
446,HS002,22,46718833,46719436,hg19,Human,22,46322936,46323539,Unknown,Unknown,Cell Line,,HeLa Cell Line,Y,Luciferase Assay,"This includes human HeLa cells, for which we confirm the quantitative nature of STARR-seq and its ability to identify enhancers that function in luciferase assays independent of their chromatin states and, thus, more reliably than previous methods (figs. S30 and S31).",1077,Genome-Wide Quantitative Enhancer Activity Maps Identified by STARR-seq,"Arnold, C. D.",2013,Science,"339, 1074-1077",10.1126/science.1232542,23328393,Charmaine,
447,HS003,12,52673849,52674994,hg19,Human,12,52280065,52281210,Unknown,Unknown,Cell Line,,HeLa Cell Line,Y,Luciferase Assay,"This includes human HeLa cells, for which we confirm the quantitative nature of STARR-seq and its ability to identify enhancers that function in luciferase assays independent of their chromatin states and, thus, more reliably than previous methods (figs. S30 and S31).",1077,Genome-Wide Quantitative Enhancer Activity Maps Identified by STARR-seq,"Arnold, C. D.",2013,Science,"339, 1074-1077",10.1126/science.1232542,23328393,Charmaine,
448,HS004,14,70465823,70466385,hg19,Human,14,69999106,69999668,Unknown,Unknown,Cell Line,,HeLa Cell Line,Y,Luciferase Assay,"This includes human HeLa cells, for which we confirm the quantitative nature of STARR-seq and its ability to identify enhancers that function in luciferase assays independent of their chromatin states and, thus, more reliably than previous methods (figs. S30 and S31).",1077,Genome-Wide Quantitative Enhancer Activity Maps Identified by STARR-seq,"Arnold, C. D.",2013,Science,"339, 1074-1077",10.1126/science.1232542,23328393,Charmaine,
449,HS005,12,52540740,52541694,hg19,Human,12,52146956,52147910,Unknown,Unknown,Cell Line,,HeLa Cell Line,Y,Luciferase Assay,"This includes human HeLa cells, for which we confirm the quantitative nature of STARR-seq and its ability to identify enhancers that function in luciferase assays independent of their chromatin states and, thus, more reliably than previous methods (figs. S30 and S31).",1077,Genome-Wide Quantitative Enhancer Activity Maps Identified by STARR-seq,"Arnold, C. D.",2013,Science,"339, 1074-1077",10.1126/science.1232542,23328393,Charmaine,
458,R4,10,114749526,114751622,hg19,Human,10,112989767,112991863,Unknown,Unknown,Cell Line,,Neuro-2a Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
459,R5,10,114751369,114752970,hg19,Human,10,112991610,112993211,Unknown,Unknown,Cell Line,,HCT-116 Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
459,R5,10,114751369,114752970,hg19,Human,10,112991610,112993211,Unknown,Unknown,Cell Line,,Neuro-2a Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
459,R5,10,114751369,114752970,hg19,Human,10,112991610,112993211,Unknown,Unknown,Cell Line,,C2C12 Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
459,R5,10,114751369,114752970,hg19,Human,10,112991610,112993211,Unknown,Unknown,Cell Line,,U2OS Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
460,R7,10,114756892,114761317,hg19,Human,10,112997133,113001558,Unknown,Unknown,Cell Line,,C2C12 Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
461,R14,10,114777595,114782410,hg19,Human,10,113017836,113022651,Unknown,Unknown,Cell Line,,HCT-116 Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
461,R14,10,114777595,114782410,hg19,Human,10,113017836,113022651,Unknown,Unknown,Cell Line,,Neuro-2a Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
461,R14,10,114777595,114782410,hg19,Human,10,113017836,113022651,Unknown,Unknown,Cell Line,,C2C12 Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
461,R14,10,114777595,114782410,hg19,Human,10,113017836,113022651,Unknown,Unknown,Cell Line,,U2OS Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
461,R14,10,114777595,114782410,hg19,Human,10,113017836,113022651,Unknown,Unknown,Cell Line,,MIN6 Insulinoma Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
462,R15,10,114781831,114783202,hg19,Human,10,113017836,113022651,Unknown,Unknown,Cell Line,,MIN6 Insulinoma Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
463,R18,10,114793343,114796279,hg19,Human,10,113033584,113036520,Unknown,Unknown,Cell Line,,C2C12 Cell Line,Y,Luciferase Assay,Sequences spanning the entire GWAS association interval were cloned and tested using cell-based luciferase assays. We generated 28 constructs spanning 93.2 kb of TCF7L2 intronic sequence (Fig. 1a).,123,In vitro scan for enhancers at the TCF7L2 locus,"Savic, D.",2013,Diabetologia,"56, 121-125",10.1007/s00125-012-2730-y,23011354,Charmaine,
